Date,Open,High,Low,Close,Adj Close,Volume
2020-08-11,2.85,3.5208,2.8433,3.2985,4939148,4939148
2020-08-12,3.2985,3.9289,3.08,3.7558,6176153,6176153
2020-08-13,3.75,4.1387,3.5003,3.73,6446567,6446567
2020-08-14,3.7207,3.7676,3.321,3.4099,5205834,5205834
2020-08-15,3.4181,3.74,3.15,3.173,3658005,3658005
2020-08-16,3.173,3.4907,3.12,3.3885,2227715,2227715
2020-08-17,3.3885,3.3952,3.1,3.11,2355329,2355329
2020-08-18,3.11,3.7092,2.8105,3.3407,8885306,8885306
2020-08-19,3.334,3.49,2.8,2.8868,4380403,4380403
2020-08-20,2.8962,3.445,2.8871,3.2038,4078240,4078240
2020-08-21,3.2038,3.24,2.89,2.9317,3480342,3480342
2020-08-22,2.9213,3.2,2.7431,3.0126,3433997,3433997
2020-08-23,3.0224,3.4,3.0014,3.25,3846250,3846250
2020-08-24,3.2658,3.62,3.21,3.3405,4504839,4504839
2020-08-25,3.3406,3.3654,3.0001,3.25,3629890,3629890
2020-08-26,3.2576,3.7999,3.1809,3.5684,8065581,8065581
2020-08-27,3.5557,3.8575,3.2434,3.4501,8578461,8578461
2020-08-28,3.4503,4.3091,3.4503,4.0063,10089370,10089370
2020-08-29,4.007,4.1121,3.7748,3.9535,5290923,5290923
2020-08-30,3.9531,4.7117,3.9,4.4309,7967065,7967065
2020-08-31,4.4127,4.8865,4.1,4.7435,6664671,6664671
2020-09-01,4.7432,4.9475,4.3,4.3397,5871722,5871722
2020-09-02,4.3213,4.3506,3.66,4.17,8136932,8136932
2020-09-03,4.17,4.459,3.4772,3.5051,12941589,12941589
2020-09-04,3.5062,3.8346,3.1739,3.5301,7262296,7262296
2020-09-05,3.5301,3.6637,2.0926,2.6052,11872722,11872722
2020-09-06,2.6119,3.18,2.2575,3.0941,7940868,7940868
2020-09-07,3.0785,3.1983,2.38,2.9237,7269853,7269853
2020-09-08,2.9237,2.9499,2.4,2.468,4163484,4163484
2020-09-09,2.468,3.8838,2.3821,3.6001,22147440,22147440
2020-09-10,3.6107,3.875,3.304,3.4761,15482088,15482088
2020-09-11,3.4707,3.5036,3.0316,3.3965,7208721,7208721
2020-09-12,3.3967,3.47,3.1494,3.3316,3845112,3845112
2020-09-13,3.3386,3.47,2.9838,3.2603,6528375,6528375
2020-09-14,3.2656,3.5393,3.0752,3.2641,11170955,11170955
2020-09-15,3.264,3.3249,2.8955,2.9295,5332430,5332430
2020-09-16,2.9288,2.9293,2.4282,2.5327,12739762,12739762
2020-09-17,2.5376,2.9389,2.36,2.8829,12078123,12078123
2020-09-18,2.883,3.16,2.726,3.1144,12294993,12294993
2020-09-19,3.1084,3.2545,2.9564,3.031,4884899,4884899
